Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Germany,2026-05-31,38437953,,174979,,High income,European Region,83408554,,460839.460182945,2097.85437594326,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Guinea,2026-05-31,38594,,468,,Lower middle income,African Region,13531906,,2852.07420152047,34.5849283907234,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Ghana,2026-05-31,172843,,1463,,Lower middle income,African Region,32833031,,5264.30228144334,44.5587859372472,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Guam,2026-05-31,52287,,419,,High income,Western Pacific Region,170534,,306607.480033307,2456.98804930395,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Dominica,2026-05-31,16047,0,74,0,Upper middle income,Region of the Americas,72412,,221606.915980777,1021.93006683975,0,0,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Equatorial Guinea,2026-05-31,17130,,183,,Upper middle income,African Region,1634466,,10480.4872049954,111.963173293296,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Gibraltar,2026-05-31,20550,,113,,High income,,32669,,629036.7014601,3458.93660656892,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,1310974,4286,0,0,,,,
Israel,2026-05-31,4841703,,12707,,High income,European Region,8900059,,544007.96668876,1427.74334417334,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Dominican Republic,2026-05-31,661103,,4384,,Upper middle income,Region of the Americas,11117873,,59463.0825518514,394.320028660158,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Guatemala,2026-05-31,1255471,1,20205,0,Upper middle income,Region of the Americas,17608483,,71299.2141344601,1147.45830177421,0.0567908092934525,0,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Gambia,2026-05-31,12627,,372,,Low income,African Region,2639916,,4783.1067352143,140.913574522826,,,1443989,35955,0,0,2010.41253489401,50.058818101879,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Jersey,2026-05-31,66391,,161,,,,109618,,605657.829918444,1468.7368862778,,,18765246,113264,0,0,,,,,1310974,4286,0,0,,,,
Spain,2026-05-31,13980340,,121886,,High income,European Region,47486935,,294403.923942449,2566.72703765783,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Guyana,2026-05-31,75525,0,1312,0,High income,Region of the Americas,804567,,93870.36753931,1630.69079393015,0,0,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Haiti,2026-05-31,34905,0,860,,Lower middle income,Region of the Americas,11447569,,3049.11898762087,75.1251204513378,0,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Japan,2026-05-31,33803572,,74694,,High income,Western Pacific Region,124612530,,271269.446178486,599.410027225994,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Ethiopia,2026-05-31,501339,,7574,,,African Region,120283026,,4167.99457639185,62.968153129104,,,18765246,113264,0,0,,,,,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Jamaica,2026-05-31,157668,0,3634,0,Upper middle income,Region of the Americas,2827695,,55758.4888044856,1285.14567518774,0,0,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Hungary,2026-05-31,2240875,,49124,,High income,European Region,9709786,,230785.209890311,5059.22581609935,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Cambodia,2026-05-31,139326,,3056,,Lower middle income,Western Pacific Region,16589023,,8398.68628791461,184.21820260301,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Falkland Islands,2026-05-31,1923,,0,,,,3764,,510892.667375133,0,,,18765246,113264,0,0,,,,,1310974,4286,0,0,,,,
Kiribati,2026-05-31,5085,,24,,Lower middle income,Western Pacific Region,128874,,39457.1441873458,186.228409143815,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Indonesia,2026-05-31,6830274,,162059,,Upper middle income,South-East Asia Region,273753191,,24950.4817644299,591.989446435348,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,61961470,809348,758,0,30129.9745679337,393.561267294142,0.368592299738752,0
St. Kitts & Nevis,2026-05-31,6607,,46,,High income,Region of the Americas,47606,,138785.027097425,966.264756543293,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
